#Time(Localtime),Temperature(degC),Pressure(Pa)
2015-08-08 18:41:20.874781,31.2,98145
2015-08-08 18:41:22.088319,31.2,98148
2015-08-08 18:41:22.910675,31.2,98145
2015-08-08 18:41:23.912086,31.2,98145
2015-08-08 18:41:24.925078,31.2,98156
2015-08-08 18:41:25.937405,31.2,98151
2015-08-08 18:41:26.950045,31.2,98156
2015-08-08 18:41:34.239055,31.2,98161
2015-08-08 18:41:34.274658,31.2,98153
2015-08-08 18:41:34.304812,31.2,98147
2015-08-08 18:41:34.325549,31.2,98147
2015-08-08 18:41:34.359601,31.2,98145
2015-08-08 18:41:34.384747,31.2,98148
2015-08-08 18:41:34.414977,31.2,98158
2015-08-08 18:41:35.050391,31.2,98148
2015-08-08 18:41:36.063658,31.2,98161
2015-08-08 18:41:46.594387,31.2,98145
2015-08-08 18:41:46.634681,31.2,98153
2015-08-08 18:41:46.664095,31.2,98153
2015-08-08 18:41:46.684706,31.2,98145
2015-08-08 18:41:46.704706,31.2,98161
2015-08-08 18:41:46.735982,31.2,98153
2015-08-08 18:41:46.754926,31.2,98153
2015-08-08 18:41:46.764730,31.2,98161
2015-08-08 18:41:46.784595,31.2,98161
2015-08-08 18:41:46.804561,31.2,98161
2015-08-08 18:41:47.201164,31.2,98164
2015-08-08 18:41:48.213433,31.2,98156
2015-08-08 18:41:49.789986,31.2,98164
2015-08-08 18:41:50.238929,31.2,98161
2015-08-08 18:41:51.251857,31.2,98170
2015-08-08 18:41:52.264209,31.2,98164
2015-08-08 18:41:53.276727,31.2,98167
2015-08-08 18:41:54.289474,31.2,98170
2015-08-08 18:41:55.311165,31.2,98164
2015-08-08 18:41:56.320590,31.2,98158
2015-08-08 18:41:57.327116,31.2,98164
2015-08-08 18:41:58.340734,31.2,98158
2015-08-08 18:41:59.351981,31.2,98158
2015-08-08 18:42:00.364647,31.2,98158
2015-08-08 18:42:01.376834,31.2,98145
2015-08-08 18:42:02.389246,31.2,98142
2015-08-08 18:42:03.402478,31.2,98139
2015-08-08 18:42:04.414967,31.2,98153
2015-08-08 18:42:05.427738,31.2,98136
2015-08-08 18:42:19.788957,31.2,98153
2015-08-08 18:42:19.797814,31.2,98153
2015-08-08 18:42:19.806512,31.2,98150
2015-08-08 18:42:19.814997,31.2,98153
2015-08-08 18:42:19.823508,31.2,98150
2015-08-08 18:42:19.832226,31.2,98151
2015-08-08 18:42:19.840953,31.2,98148
2015-08-08 18:42:19.849988,31.2,98148
2015-08-08 18:42:19.860449,31.2,98153
2015-08-08 18:42:19.868943,31.2,98150
2015-08-08 18:42:19.877586,31.2,98158
2015-08-08 18:42:19.886148,31.2,98158
2015-08-08 18:42:19.894727,31.2,98153
2015-08-08 18:42:19.903491,31.2,98153
2015-08-08 18:42:20.620391,31.2,98153
2015-08-08 18:42:21.627982,31.2,98156
2015-08-08 18:42:25.127929,31.2,98161
2015-08-08 18:42:25.156871,31.2,98153
2015-08-08 18:42:25.188630,31.2,98173
2015-08-08 18:42:25.678400,31.2,98173
2015-08-08 18:42:26.691448,31.2,98179
2015-08-08 18:42:27.703252,31.2,98170
2015-08-08 18:42:28.716393,31.2,98156
2015-08-08 18:42:29.728615,31.2,98142
2015-08-08 18:42:30.741635,31.2,98156
2015-08-08 18:42:31.754280,31.2,98170
2015-08-08 18:42:34.507010,31.2,98185
2015-08-08 18:42:34.550890,31.2,98182
2015-08-08 18:42:34.792011,31.2,98185
2015-08-08 18:42:35.803761,31.2,98191
2015-08-08 18:42:36.816570,31.2,98176
2015-08-08 18:42:37.829013,31.2,98173
2015-08-08 18:42:38.842249,31.2,98170
2015-08-08 18:42:39.854011,31.2,98170
2015-08-08 18:42:40.866379,31.2,98185
2015-08-08 18:42:41.879951,31.2,98179
2015-08-08 18:42:42.892167,31.2,98161
2015-08-08 18:42:43.905038,31.2,98176
2015-08-08 18:42:44.917187,31.2,98173
2015-08-08 18:42:45.940773,31.2,98179
2015-08-08 18:42:46.942433,31.2,98167
2015-08-08 18:42:47.955199,31.2,98156
2015-08-08 18:42:48.966736,31.2,98150
2015-08-08 18:42:58.968405,31.2,98153
2015-08-08 18:42:58.997252,31.2,98156
2015-08-08 18:42:59.031707,31.2,98164
2015-08-08 18:42:59.063736,31.2,98164
2015-08-08 18:42:59.084498,31.2,98156
2015-08-08 18:42:59.132018,31.2,98161
2015-08-08 18:42:59.144586,31.2,98170
2015-08-08 18:42:59.176458,31.2,98161
2015-08-08 18:42:59.195059,31.2,98156
2015-08-08 18:42:59.217398,31.2,98151
2015-08-08 18:43:00.105322,31.2,98158
2015-08-08 18:43:01.117979,31.2,98164
2015-08-08 18:43:08.713687,31.2,98156
2015-08-08 18:43:08.722869,31.2,98142
2015-08-08 18:43:08.751240,31.2,98142
2015-08-08 18:43:08.760006,31.2,98136
2015-08-08 18:43:08.782957,31.2,98145
2015-08-08 18:43:08.802090,31.2,98147
2015-08-08 18:43:08.815469,31.2,98142
2015-08-08 18:43:09.218202,31.2,98136
2015-08-08 18:43:10.231188,31.2,98150
2015-08-08 18:43:11.243903,31.2,98136
2015-08-08 18:43:12.256579,31.2,98153
2015-08-08 18:43:13.268810,31.2,98158
2015-08-08 18:43:14.281999,31.2,98151
2015-08-08 18:43:15.293909,31.2,98164
2015-08-08 18:43:16.306685,31.2,98170
2015-08-08 18:43:17.330545,31.2,98161
2015-08-08 18:43:18.331548,31.2,98158
2015-08-08 18:43:19.343683,31.2,98158
2015-08-08 18:43:20.356472,31.2,98153
2015-08-08 18:43:21.369504,31.2,98161
2015-08-08 18:43:25.651221,31.2,98161
2015-08-08 18:43:25.659920,31.2,98164
2015-08-08 18:43:25.668273,31.2,98158
2015-08-08 18:43:25.677011,31.2,98158
2015-08-08 18:43:26.432097,31.2,98170
2015-08-08 18:43:27.444166,31.2,98156
2015-08-08 18:43:28.457111,31.2,98167
2015-08-08 18:43:29.469182,31.2,98161
2015-08-08 18:43:35.852933,31.2,98164
2015-08-08 18:43:35.861711,31.2,98161
2015-08-08 18:43:35.884676,31.2,98173
2015-08-08 18:43:35.905495,31.2,98167
2015-08-08 18:43:35.923639,31.2,98179
2015-08-08 18:43:35.943392,31.2,98179
2015-08-08 18:43:36.557874,31.2,98176
2015-08-08 18:43:37.569810,31.2,98170
2015-08-08 18:43:38.582703,31.2,98176
2015-08-08 18:43:39.595636,31.2,98167
2015-08-08 18:43:45.402771,31.2,98176
2015-08-08 18:43:45.433987,31.2,98170
2015-08-08 18:43:45.463574,31.2,98176
2015-08-08 18:43:45.492240,31.2,98191
2015-08-08 18:43:45.514842,31.2,98182
2015-08-08 18:43:45.670766,31.2,98182
2015-08-08 18:43:46.683439,31.2,98185
2015-08-08 18:43:48.207930,31.2,98182
2015-08-08 18:43:48.707624,31.2,98164
2015-08-08 18:43:49.731044,31.2,98176
2015-08-08 18:43:50.733002,31.2,98182
2015-08-08 18:43:51.746258,31.2,98173
2015-08-08 18:43:53.903683,31.2,98185
2015-08-08 18:43:53.923701,31.2,98185
2015-08-08 18:43:54.783882,31.2,98182
2015-08-08 18:43:55.796589,31.2,98191
2015-08-08 18:43:56.808240,31.2,98197
2015-08-08 18:43:57.820884,31.2,98185
2015-08-08 18:43:58.834417,31.2,98194
2015-08-08 18:43:59.846006,31.2,98197
2015-08-08 18:44:00.858591,31.2,98194
2015-08-08 18:44:01.871668,31.2,98182
2015-08-08 18:44:09.755766,31.2,98185
2015-08-08 18:44:09.764325,31.2,98179
2015-08-08 18:44:09.773105,31.2,98179
2015-08-08 18:44:09.781953,31.2,98200
2015-08-08 18:44:09.790637,31.2,98194
2015-08-08 18:44:09.798909,31.2,98194
2015-08-08 18:44:09.807856,31.2,98182
2015-08-08 18:44:09.972581,31.2,98191
2015-08-08 18:44:10.984461,31.2,98167
2015-08-08 18:44:11.996813,31.2,98167
2015-08-08 18:44:13.009589,31.2,98170
2015-08-08 18:44:14.022706,31.2,98182
2015-08-08 18:44:15.035209,31.2,98188
2015-08-08 18:44:16.047294,31.2,98185
2015-08-08 18:44:17.060313,31.2,98188
2015-08-08 18:44:18.072998,31.2,98191
2015-08-08 18:44:19.085056,31.2,98197
2015-08-08 18:44:20.097656,31.2,98188
2015-08-08 18:44:21.296591,31.2,98179
2015-08-08 18:44:22.122248,31.2,98182
2015-08-08 18:44:23.134926,31.2,98188
2015-08-08 18:44:24.147658,31.2,98188
2015-08-08 18:44:25.160546,31.2,98176
2015-08-08 18:44:26.172560,31.2,98182
2015-08-08 18:44:27.184720,31.2,98185
